movie_title,release_date,genre,MPAA_rating,revenue
Bad Company,7-Jun-02,Action,PG-13,"$43,756,218 "
Wreck-It Ralph,2-Nov-12,Adventure,PG,"$200,354,959 "
Iron Man 3,3-May-13,Action,PG-13,"$424,084,233 "
Cinderella,15-Feb-50,Drama,G,"$920,608,730 "
One Magic Christmas,22-Nov-85,Drama,,"$31,415,432 "
Beverly Hills Chihuahua,3-Oct-08,Comedy,PG,"$110,932,022 "
WALL-E,27-Jun-08,Adventure,G,"$262,771,918 "
Aladdin,11-Nov-92,Comedy,G,"$441,969,178 "
Casanova,25-Dec-05,Drama,R,"$14,574,087 "
Thor: The Dark World,8-Nov-13,Adventure,PG-13,"$213,962,184 "
Monkey Kingdom,17-Apr-15,Documentary,G,"$16,432,322 "
Ernest Saves Christmas,11-Nov-88,Comedy,PG,"$57,845,202 "
Hannah Montana/Miley Cyrus: Best of B…,1-Feb-08,Concert/Performance,G,"$76,646,993 "
Saving Mr. Banks,13-Dec-13,Drama,PG-13,"$86,249,969 "
The Aristocats,24-Apr-70,Musical,G,"$255,161,499 "
Calendar Girls,19-Dec-03,Comedy,PG-13,"$42,379,650 "
Unstrung Heroes,15-Sep-95,Drama,PG,"$15,365,850 "
Three Fugitives,27-Jan-89,Comedy,PG-13,"$85,757,817 "
Tomorrowland,22-May-15,Adventure,PG,"$93,436,322 "
The Village,30-Jul-04,Thriller/Suspense,PG-13,"$155,021,748 "
"Alexander and the Terrible, Horrible,…",10-Oct-14,Comedy,PG,"$69,055,550 "
Arachnophobia,18-Jul-90,Thriller/Suspense,PG-13,"$106,290,270 "
Lincoln,9-Nov-12,Drama,PG-13,"$192,122,330 "
The Horse Whisperer,15-May-98,Drama,PG-13,"$135,497,531 "
Muppets Most Wanted,21-Mar-14,Comedy,PG,"$52,807,594 "
Fantasia 2000 (IMAX),1-Jan-00,Musical,G,"$94,852,354 "
Spaced Invaders,27-Apr-90,Comedy,PG,"$29,964,452 "
Just Visiting,6-Apr-01,Comedy,PG-13,"$7,114,869 "
Holes,18-Apr-03,Drama,PG,"$94,203,395 "
The Last Shot,24-Sep-04,Comedy,R,"$629,502 "
The Jungle Book,18-Oct-67,Musical,Not Rated,"$789,612,346 "
Meet the Robinsons,30-Mar-07,Adventure,G,"$119,860,589 "
Dead Poets Society,2-Jun-89,Drama,PG,"$202,531,517 "
Avengers: Age of Ultron,1-May-15,Action,PG-13,"$459,005,868 "
Man of the House,3-Mar-95,Comedy,PG,"$77,573,459 "
Bears,18-Apr-14,Documentary,G,"$18,346,024 "
Passed Away,24-Apr-92,,PG-13,"$8,187,848 "
ESPN's Ultimate X - The Movie,10-May-02,Documentary,PG,"$6,089,874 "
Atlantis: The Lost Empire,8-Jun-01,Adventure,PG,"$125,188,122 "
Ernest Goes to Camp,22-May-87,Comedy,,"$50,686,462 "
Teacher's Pet: The Movie,16-Jan-04,Comedy,PG,"$8,812,764 "
Spy Hard,24-May-96,Comedy,PG-13,"$51,373,912 "
Snow Dogs,18-Jan-02,Comedy,PG,"$117,745,317 "
Frankenweenie,5-Oct-12,Comedy,PG,"$37,363,513 "
Tuck Everlasting,11-Oct-02,Drama,PG,"$27,789,959 "
Hauru no ugoku shiro,10-Jun-05,Adventure,PG,"$6,194,870 "
Gedo Senki (Tales from Earthsea),13-Aug-10,Adventure,PG-13,"$51,988 "
Return to Oz,21-Jun-85,Adventure,,"$25,215,934 "
Disney's A Christmas Carol,6-Nov-09,Drama,PG,"$154,927,105 "
Prefontaine,24-Jan-97,Drama,PG-13,"$1,085,093 "
Beaches,21-Dec-88,Drama,PG-13,"$120,381,757 "
101 Dalmatians,25-Jan-61,Comedy,G,"$1,362,870,985 "
The Last Song,31-Mar-10,Drama,PG,"$67,258,772 "
Father Hood,27-Aug-93,,PG-13,"$6,654,819 "
Encino Man,22-May-92,Comedy,PG,"$81,369,058 "
Sweet Home Alabama,27-Sep-02,Comedy,PG-13,"$184,521,151 "
Play it to the Bone,24-Dec-99,Comedy,R,"$13,180,524 "
The Odd Life of Timothy Green,15-Aug-12,Drama,PG,"$54,914,942 "
Honey I Blew Up the Kid,17-Jul-92,Comedy,PG,"$119,162,518 "
Hercules,13-Jun-97,Adventure,G,"$182,029,412 "
